Year,Sector,GDP_Contribution,IIP,CPI,Consumption
2016,Manufacture of basic metals,130.6,5.1,,
2017,Manufacture of basic metals,138.0,138.0,,
2017,Manufacture of basic metals,138.0,5.7,,
2018,Manufacture of basic metals,143.3,143.3,,
2018,Manufacture of basic metals,143.3,3.8,,
2019,Manufacture of basic metals,159.1,159.1,,
2019,Manufacture of basic metals,159.1,11.0,,
2020,Manufacture of basic metals,149.8,149.8,,
2020,Manufacture of basic metals,149.8,-5.8,,
2021,Manufacture of basic metals,177.6,177.6,,
2021,Manufacture of basic metals,177.6,18.6,,
2022,Manufacture of basic metals,191.9,191.9,,
2022,Manufacture of basic metals,191.9,8.1,,
2013,"Manufacture of fabricated metal products, except machinery and equipment",101.5,101.5,,
2013,"Manufacture of fabricated metal products, except machinery and equipment",101.5,4.6,,
2014,"Manufacture of fabricated metal products, except machinery and equipment",105.9,105.9,,
2014,"Manufacture of fabricated metal products, except machinery and equipment",105.9,4.3,,
2015,"Manufacture of fabricated metal products, except machinery and equipment",103.4,103.4,,
2015,"Manufacture of fabricated metal products, except machinery and equipment",103.4,-2.4,,
2016,"Manufacture of fabricated metal products, except machinery and equipment",105.5,105.5,,
2016,"Manufacture of fabricated metal products, except machinery and equipment",105.5,2.0,,
2017,"Manufacture of fabricated metal products, except machinery and equipment",107.9,107.9,,
2017,"Manufacture of fabricated metal products, except machinery and equipment",107.9,2.3,,
2018,"Manufacture of fabricated metal products, except machinery and equipment",106.2,106.2,,
2018,"Manufacture of fabricated metal products, except machinery and equipment",106.2,-1.6,,
2019,"Manufacture of fabricated metal products, except machinery and equipment",90.6,90.6,,
2019,"Manufacture of fabricated metal products, except machinery and equipment",90.6,-14.7,,
2020,"Manufacture of fabricated metal products, except machinery and equipment",78.2,78.2,,
2020,"Manufacture of fabricated metal products, except machinery and equipment",78.2,-13.7,,
2021,"Manufacture of fabricated metal products, except machinery and equipment",86.7,86.7,,
2021,"Manufacture of fabricated metal products, except machinery and equipment",86.7,10.9,,
2022,"Manufacture of fabricated metal products, except machinery and equipment",85.3,85.3,,
2022,"Manufacture of fabricated metal products, except machinery and equipment",85.3,-1.6,,
2013,"Manufacture of computer, electronic and optical products",115.2,115.2,,
2013,"Manufacture of computer, electronic and optical products",115.2,14.5,,
2014,"Manufacture of computer, electronic and optical products",117.6,117.6,,
2014,"Manufacture of computer, electronic and optical products",117.6,2.1,,
2015,"Manufacture of computer, electronic and optical products",123.6,123.6,,
2015,"Manufacture of computer, electronic and optical products",123.6,5.1,,
2016,"Manufacture of computer, electronic and optical products",126.7,126.7,,
2016,"Manufacture of computer, electronic and optical products",126.7,2.5,,
2017,"Manufacture of computer, electronic and optical products",148.5,148.5,,
2017,"Manufacture of computer, electronic and optical products",148.5,17.2,,
2018,"Manufacture of computer, electronic and optical products",168.7,168.7,,
2018,"Manufacture of computer, electronic and optical products",168.7,13.6,,
2019,"Manufacture of computer, electronic and optical products",151.0,151.0,,
2019,"Manufacture of computer, electronic and optical products",151.0,-10.5,,
